State,Literacy_Rate
Andhra Pradesh,67.66
Assam,73.18
Bihar,63.82
Chhattisgarh,71.04
Delhi,86.34
Gujarat,79.31
Haryana,76.64
Himachal Pradesh,83.78
Jammu & Kashmir,68.74
Jharkhand,67.63
Karnataka,75.6
Kerala,93.91
Madhya Pradesh,70.63
Maharashtra,82.91
Odisha,73.45
Punjab,76.68
Rajasthan,67.06
Tamil Nadu,80.33
Uttar Pradesh,69.74
Uttarakhand,79.63
West Bengal,77.08
